tracklet_id,video_id,pose_motion_energy,joint_angle_var,accel_mean,bbox_scale_var,flag_reflection,velocity_mean,limb_amplitude,flag_camera_motion,trajectory_curvature,velocity_max
57,test,11.6,0.1973590647326866,0.6534406,0.0,1,1.5419685,37.94,1,1.4631597610338793,4.506939
58,test,33.66,0.03939772672035803,1.0304018,0.0,0,3.314977,129.5,1,1.089630518142876,5.59017
59,test,10.766,0.18742826329116652,0.6571294,0.0,1,1.5258205,39.53,1,1.621420086528626,4.506939
60,test,32.4,0.042338925991712933,1.1608015,0.0,0,3.1735556,128.5,0,1.105858734282897,5.59017
61,test,10.63,0.10971716001010015,0.6971231,0.0,1,1.5361817,41.7,0,1.7717802485481033,4.506939
62,test,31.69,0.04639862740423191,1.1978961,0.0,0,2.9746165,128.1,0,1.143237991965832,5.59017
63,test,10.125,0.13280213635588786,0.5874251,0.0,1,1.4538742,43.38,0,1.839430332699007,4.506939
64,test,30.77,0.05106076243653013,1.2813662,0.0,0,2.6731043,128.6,0,1.1617314105606933,5.59017
65,test,10.08,0.1749373988757283,0.5760771,0.0,1,1.2509507,45.25,0,2.0532772333253684,3.4003677
66,test,30.02,0.05590688868651665,1.1566509,0.0,0,2.4206114,129.0,0,1.1898251975984393,4.924429
67,test,10.29,0.24757140302744535,0.66389817,0.0,1,1.2037652,47.66,0,2.0812998554331177,3.4003677
68,test,28.94,0.05595673902288594,1.1075815,0.0,0,2.3178527,129.0,0,1.1987111853592443,4.924429
69,test,10.22,0.3091198370749084,0.5699271,0.0,1,1.2210286,49.72,0,2.1510377496204423,3.6593204
70,test,27.31,0.04643668483023598,0.973025,0.0,0,2.1433916,128.9,0,1.235658475045212,4.924429
71,test,10.01,0.38381821472323796,0.6153541,0.0,1,1.3328319,51.7,0,2.0532119656087024,3.6593204
72,test,25.98,0.03664896617480988,0.94170743,0.0,0,2.1002357,128.4,0,1.2578791913222644,4.924429
73,test,9.77,0.45524401345681786,0.6167225,0.0,1,1.4787813,53.66,0,1.9270247055135756,3.6593204
74,test,25.02,0.026884447519696424,1.026803,0.0,0,2.173939,127.44,0,1.2532689145766132,4.924429
75,test,10.15,0.47244829933117116,0.64312667,0.0,0,1.7141277,56.1,0,1.7414305197496114,4.1551924
76,test,24.25,0.016827564918498232,1.0531946,0.0,0,2.22301,126.1,0,1.2583075371920356,4.924429
77,test,10.336,0.47164275738380246,0.64989865,0.0,0,1.9807943,58.3,0,1.6161149702672348,4.375
78,test,24.75,0.021099013914814994,1.0299457,0.0,0,2.1937804,125.4,0,1.265408664924461,4.924429
79,test,10.664,0.45364875391817727,0.6741462,0.0,0,2.1831632,60.47,0,1.4896749528839874,4.375
80,test,20.55,0.030537220389844376,1.1405329,0.0,0,2.3010983,124.2,0,1.3188067445944884,4.924429
81,test,11.266,0.39941018583232657,0.72715753,0.0,0,2.418343,62.78,0,1.3350805170295317,4.527693
82,test,19.25,0.046061245774680334,1.1640098,0.0,0,2.5010984,123.6,0,1.3101321091452802,5.0
83,test,11.67,0.3269761252702914,0.85225075,0.0,0,2.5433426,65.4,0,1.2519919020299781,4.527693
84,test,18.3,0.05916859777511772,1.2511479,0.0,0,2.6040318,123.1,0,1.3040096705862447,5.0
85,test,12.52,0.24593922150558684,0.8522562,0.0,0,2.6398196,68.06,0,1.1978230199928734,4.527693
86,test,18.98,0.0586805366469964,1.3662751,0.0,0,2.9820068,123.2,0,1.282064848670348,7.905694
87,test,12.945,0.15410412149774214,0.8712255,0.0,0,2.7114985,71.0,0,1.1645390917734182,4.527693
